Date;ID
1/1/17;0
1/2/17;0
1/3/17;0
1/7/17;0
3/8/17;0
3/18/17;1
3/20/17;0
3/21/17;0
3/22/17;0
3/23/17;0
5/1/17;0
5/7/17;0
5/8/17;0
5/9/17;0
6/1/17;1
6/6/17;0
7/6/17;0
8/30/17;0
9/1/17;0
12/1/17;0
12/16/17;0
12/17/17;0
12/18/17;0
12/19/17;0
1/1/18;0
1/2/18;0
1/7/18;0
3/3/18;1
3/8/18;0
3/9/18;0
3/21/18;0
3/22/18;0
3/23/18;0
5/1/18;0
5/5/18;1
5/7/18;0
5/8/18;0
5/9/18;0
7/6/18;0
8/21/18;0
8/25/18;1
8/30/18;0
8/31/18;0
12/1/18;0
12/3/18;0
12/16/18;0
12/17/18;0
12/18/18;0
12/29/18;1
12/31/18;0
1/1/19;0
1/2/19;0
1/7/19;0
3/8/19;0
3/21/19;0
3/22/19;0
3/23/19;0
3/25/19;0
5/1/19;0
5/4/19;1
5/7/19;0
5/9/19;0
5/10/19;0
7/6/19;0
7/8/19;0
8/30/19;0
12/1/19;0
12/2/19;0
12/16/17;0
12/17/19;0
1/1/20;0
1/2/20;0
1/3/20;0
1/5/20;1
1/7/20;0
3/8/20;0
3/9/20;0
3/21/20;0
3/22/20;0
3/23/20;0
3/24/20;0
3/25/20;0
5/1/20;0
5/7/20;0
5/8/20;0
5/9/20;0
7/6/20;0
7/31/20;0
8/31/20;0
12/1/20;0
12/16/20;0
12/17/20;0
12/18/20;0
12/20/20;1
